,shannon,richness
SRR14291336,4.124807907568012,270
SRR14291337,4.153445164887097,269
SRR14291338,3.78094686282318,264
SRR14291339,3.8120790378347555,262
SRR14291340,3.742634892369244,263
SRR14291341,4.114388104644998,264
SRR14291342,4.093132093976287,266
SRR14291343,3.8260794450022297,265
SRR14291344,3.244370627240519,266
SRR14291345,4.250547451104801,266
SRR14291346,3.099939389150257,266
SRR14291347,3.587046438001381,264
SRR14291348,3.754647790146561,266
SRR14291349,4.007315534782055,265
SRR14291350,4.070146884162986,266
SRR14291351,4.394118431582152,263
SRR14291352,4.3437909958952305,264
SRR14291353,3.6131533790955848,268
SRR14291354,4.267711732983958,267
SRR14291355,3.901393290284134,264
SRR14291356,3.5081556374819454,272
SRR14291357,2.202016805552654,224
SRR14291358,3.5893846749546703,264
SRR14291359,3.315775913742426,256
SRR14291360,3.587528366157227,255
SRR14291361,2.763307498024499,256
SRR14291362,2.6195262518394618,253
SRR14291363,2.8440165623211535,250
SRR14291364,2.933670987815944,252
SRR14291365,2.695600948516144,254
SRR14291366,3.367833101089384,252
SRR14291367,3.3286313204010067,255
SRR14291368,3.214835982078943,253
SRR14291369,3.4364719826970895,264
SRR14291370,3.049198385014299,249
SRR14291371,3.213437139450045,245
SRR14291372,3.20851880300415,252
SRR14291373,3.0540262125021647,252
SRR14291374,3.1541355334458494,249
SRR14291375,2.991278673554816,254
SRR14291376,2.8260942016389947,243
SRR14291377,2.958563600469956,259
SRR14291378,3.0195848672894843,247
SRR14291379,3.0597813582912496,245
SRR14291380,3.5724531182055994,258
SRR14291381,2.7695942674446936,241
SRR14291382,3.1621060902775437,249
SRR14291383,2.9522781359442085,243
SRR14291384,2.9945238500148026,249
SRR14291385,2.749724081848746,242
SRR14291386,2.9594674639648284,244
SRR14291387,3.1294187870423995,250
SRR14291388,3.2072676966079956,264
SRR14291389,2.9460464614579194,238
SRR14291390,3.3774759157937386,260
SRR14291391,3.6043566604506974,265
SRR14291392,3.2255537830606436,260
SRR14291393,3.1389345617069546,256
SRR14291394,3.295389211415291,266
SRR14291395,3.343057213356836,261
SRR14291396,3.0034861250668565,246
SRR14291397,3.401930692408524,261
SRR14291398,3.1157252494557754,259
SRR14291399,3.276383076030331,257
SRR14291400,3.3433613950867076,262
SRR14291401,3.00180939930513,253
SRR14291402,2.0360155506238193,225
SRR14291403,1.9165448881963876,222
SRR14291404,2.054342217686412,213
SRR14291405,2.1856363793443183,231
SRR14291406,1.8807420713052616,221
SRR14291407,3.7445842959183677,270
SRR14291408,1.8025394815359082,218
SRR14291409,1.8777241349558143,213
SRR14291410,2.21819460630782,220
SRR14291411,2.101696629690158,223
SRR14291412,2.150622217884803,196
SRR14291413,1.5816055045617614,209
SRR14291414,3.272598569746637,261
SRR14291415,3.01749770091344,244
SRR14291416,3.0513300366636873,246
SRR14291417,3.113187579601529,250
SRR14291418,4.035964019197358,269
SRR14291419,3.913507301326418,265
SRR14291420,3.444764159251598,265
SRR14291421,4.101307236947493,266
SRR14291422,3.682172529705009,267
SRR14291423,2.90083538819899,265
SRR14291424,3.2523466370562524,266
SRR14291425,3.414419347080902,265
SRR14291426,3.3020955428869185,264
SRR14291427,2.8114341812247874,264
SRR14291428,3.2838695317199775,262
SRR14291429,4.080158719042234,271
SRR14291430,2.5293958564287817,262
SRR14291431,3.244722786574994,266
SRR14291432,3.260434638235568,263
SRR14291433,3.2502031890856076,264
