,SRR14291145,SRR14291146,SRR14291147,SRR14291148,SRR14291149,SRR14291150,SRR14291151,SRR14291152,SRR14291153,SRR14291154,SRR14291155,SRR14291156,SRR14291157,SRR14291158,SRR14291159,SRR14291160,SRR14291161,SRR14291162,SRR14291163,SRR14291164,SRR14291165
Erwinia sorbitola,0.0,0.0,0.0,0.0,0.0,0.0,0.0005701257230878631,0.0007470909297954125,0.0,0.0,0.0,0.00045034952752705194,0.0007333322051299409,0.001229338406949532,0.003367097842251466,0.0008394083673109641,0.0005142690372755054,0.0009013929525760475,0.0003792310332339116,0.0,0.00031824764609064595
Parvimonas micra,0.0037118321095357745,0.001422281259757511,0.0014257905605132416,0.000702451999763768,0.00047827514850443364,0.001404375049591994,0.0017362919748584922,0.002309190146640366,0.0012991417939533026,0.0014611910759154052,0.0014167085679514975,0.0043909078933887565,0.0021717915305771323,0.002581610654594017,0.0035829374475239957,0.0058316791834235404,0.007628324052919998,0.008646695359896159,0.006040608600797306,0.006423253192665298,0.0017971631779236474
Methanothermus fervidus,0.00025396746012613193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022517476376352597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gimesia maris,0.0009181900481483232,0.0,0.0003497222129560781,0.0002601674073199141,0.0,0.0,0.0,0.0005886170962024462,0.0,0.0,0.0003715956899544911,0.0013735660589575085,0.0005923067810664907,0.00090151483176299,0.0009928621842536375,0.0007510495918045469,0.000685692049700674,0.0007678532558981145,0.000812637928358382,0.0,0.0007300975410314818
Kluyvera cryocrescens,0.0003711832109535775,0.0,0.0003497222129560781,0.0003382176295158883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pseudomonas vancouverensis,0.00021489554318365013,0.0,0.0,0.0,0.0,0.0,0.0,0.00033958678627064203,0.0,0.0,0.0,0.0,0.0003948711873776604,0.0005736912565764482,0.0005611829737085777,0.0,0.0,0.0,0.0003250551713433528,0.0,0.00020592494747041795
Chitinimonas koreensis,0.00035164725248233654,0.0003638393920309912,0.0,0.0004943180739078368,0.0,0.0,0.000388722083923543,0.000384865024440061,0.0,0.0,0.00032514622871017976,0.00024769224013987856,0.0,0.0008605368848646725,0.0005611829737085777,0.0006626908162981296,0.0012428168400824716,0.0008680080284065644,0.000541758618905588,0.0010523974157474218,0.00044929079448091186
Flavobacterium sp. N2820,0.00169962838699796,0.0,0.0,0.0,0.0,0.0,0.0005701257230878631,0.00047542150077889894,0.000491567165279628,0.0,0.00034837095933233544,0.001959020444742676,0.0004794864418157306,0.0011064045662545787,0.0007770225789811077,0.0007068702040513382,0.0014570956056139323,0.0017360160568131288,0.0015440120638809257,0.0010523974157474218,0.0003369680958606839
Ilumatobacter coccineus,0.0003711832109535775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007655941967959883,0.0,0.0,0.0,0.0,0.0004714132841692134,0.00036723416586431564,0.00035214310228863223,0.0,0.0
Tenacibaculum finnmarkense,0.00042979108636730025,0.0,0.0009684615128014471,0.0,0.0007014702178065026,0.0,0.0005442109174929602,0.0004075041435247705,0.0,0.0005596050929037722,0.0003715956899544911,0.0008556641023013986,0.0,0.0005736912565764482,0.0004316792105450597,0.0015462785713623024,0.0007285478028069662,0.0014355517392877794,0.0007042862045772645,0.0008709495854461421,0.00031824764609064595
